Name,Rating,Reviews,URL,Description,Location
Phoenix Premium Outlets,4.1,232,https://www.tripadvisor.com/Attraction_Review-g31190-d3707822-Reviews-Phoenix_Premium_Outlets-Chandler_Arizona.html,"Phoenix Premium Outlets serves as the top-of-mind shopping destination for locals and visitors alike looking for exclusive and sought-after outlet fashion in a casual, family-friendly atmosphere. …","Chandler, Arizona"
Chandler Nature Center,4.9,12,https://www.tripadvisor.com/Attraction_Review-g31190-d5823524-Reviews-Chandler_Nature_Center-Chandler_Arizona.html,"The Environmental Education Center serves as a gateway to Veterans Oasis Park, offering a diverse roster of programming related to the environment. The park also includes 4 1/2 miles of trails, wildlife…","Chandler, Arizona"
Rawhide Western Town & Event Center,3.7,609,https://www.tripadvisor.com/Attraction_Review-g31190-d116652-Reviews-Rawhide_Western_Town_Event_Center-Chandler_Arizona.html,,"Chandler, Arizona"
Chandler Museum,4.5,25,https://www.tripadvisor.com/Attraction_Review-g31190-d8370195-Reviews-Chandler_Museum-Chandler_Arizona.html,"The Chandler Museum is a cultural destination unlike any other with engaging, community-focused programs and forums, as well as world-class traveling exhibits. Tuesday - Saturday 10 am - 5 pm Sunday…","Chandler, Arizona"
Makutu's Island,3.6,93,https://www.tripadvisor.com/Attraction_Review-g31190-d2648940-Reviews-Makutu_s_Island-Chandler_Arizona.html,"Makutu’s [Ma-coo-two’s] [means magic] Island was called Club Disney - is an evergreen lush, exciting indoor “island” with towering trees, climbs, mysterious caves, a ""bungee jump"", a zip track, an…","Chandler, Arizona"
Ocotillo Golf Club,4.1,180,https://www.tripadvisor.com/Attraction_Review-g31190-d266589-Reviews-Ocotillo_Golf_Club-Chandler_Arizona.html,"Discover our desert oasis at Ocotillo Golf Club, a premier golf destination in the Valley of The Sun. Located in Chandler, Arizona, Ocotillo Golf Club is just minutes from Phoenix Sky Harbor International…","Chandler, Arizona"
Huhugam Heritage Center,3.6,17,https://www.tripadvisor.com/Attraction_Review-g31190-d546067-Reviews-Huhugam_Heritage_Center-Chandler_Arizona.html,"This modern cultural center highlights the ancestral, historic and current cultures of the Gila River Indian Community, made up of two tribes – the Akimel O’otham and the Pee Posh . Our mission is…","Chandler, Arizona"
San Marcos Golf Course,3.9,48,https://www.tripadvisor.com/Attraction_Review-g31190-d8048099-Reviews-San_Marcos_Golf_Course-Chandler_Arizona.html,"The San Marcos Golf Course boasts a recent multi-million dollar renovation and now includes a brand new state-of-the-art irrigation system that produces year-round premium playing condition, expanded…","Chandler, Arizona"
Whirlwind Golf Club,4.2,96,https://www.tripadvisor.com/Attraction_Review-g31190-d611035-Reviews-Whirlwind_Golf_Club-Chandler_Arizona.html,"Whirlwind Golf Club is truly a unique southwest golf experience. The courses, clubhouse, and practice facilities are sensitively designed to preserve the rich cultural heritage of the Gila River Indian…","Chandler, Arizona"
Aji Spa,4.5,196,https://www.tripadvisor.com/Attraction_Review-g31190-d269099-Reviews-Aji_Spa-Chandler_Arizona.html,"In the heart of the Sonoran Desert is Aji Spa, a Forbes Five-Star therapeutic oasis designed with the physical and spiritual needs of its guests in mind. Bringing together contemporary spa treatments…","Chandler, Arizona"
Arizona Pumpkin Patch,5.0,1,https://www.tripadvisor.com/Attraction_Review-g31190-d18979618-Reviews-Arizona_Pumpkin_Patch-Chandler_Arizona.html,"Autumn in Arizona is a special time. With temperatures dropping after a long, hot summer,it’s time for some wholesome fall fun, picking out the perfect pumpkin. Jack-o-Lanterns and pumpkin pie, oh…","Chandler, Arizona"
Downtown Chandler Farmer's Market,,,https://www.tripadvisor.com/Attraction_Review-g31190-d26684692-Reviews-Downtown_Chandler_Farmer_s_Market-Chandler_Arizona.html,,"Chandler, Arizona"
Game Show Battle Rooms - Phoenix,4.2,5,https://www.tripadvisor.com/Attraction_Review-g31190-d26687316-Reviews-Game_Show_Battle_Rooms_Phoenix-Chandler_Arizona.html,"You're in the Game Show! Game Show Battle Rooms is one of the nation's first immersive game show experiences for everyone to enjoy. Face-off against your friends, family, or coworkers in our game …","Chandler, Arizona"
The Bridge Recreational Center,,,https://www.tripadvisor.com/Attraction_Review-g31190-d20157877-Reviews-The_Bridge_Recreational_Center-Chandler_Arizona.html,"Free Recreational Center that offers a full length basketball court, skatepark, game room, rock wall, cafe, and coffee shop. We provide free tutoring as needed and requested by students. The Rec Center…","Chandler, Arizona"
Highland Yard Vintage,5.0,54,https://www.tripadvisor.com/Attraction_Review-g31190-d12180033-Reviews-Highland_Yard_Vintage-Chandler_Arizona.html,Highland Yard Vintage is a magical monthly Home Design and Decor Market held four days each month in a large (air conditioned) warehouse located behind Merchant Square Antique Mall. Visitors come …,"Chandler, Arizona"
Ironwood Country Club,3.7,19,https://www.tripadvisor.com/Attraction_Review-g31190-d214719-Reviews-Ironwood_Country_Club-Chandler_Arizona.html,,"Chandler, Arizona"
The Pixels Playground,,,https://www.tripadvisor.com/Attraction_Review-g31190-d26365483-Reviews-The_Pixels_Playground-Chandler_Arizona.html,An immersive self-guided photography studio! Come experience the new fully immersive Instagram ready rooms at The Pixels playground. We have over 19 themed rooms for you to capture the perfect photo…,"Chandler, Arizona"
Iglesia Revive,,,https://www.tripadvisor.com/Attraction_Review-g31190-d13802301-Reviews-Iglesia_Revive-Chandler_Arizona.html,,"Chandler, Arizona"
Merchant Square,4.8,156,https://www.tripadvisor.com/Attraction_Review-g31190-d7360715-Reviews-Merchant_Square-Chandler_Arizona.html,"Merchant Square is the greatest antique mall in Arizona. Plan on spending a few hours as you peruse the aisles of history, eclectic decor, vintage wares, and antiques. When you need a break, enjoy…","Chandler, Arizona"
Gravity Extreme Zone,4.1,14,https://www.tripadvisor.com/Attraction_Review-g31190-d14450653-Reviews-Gravity_Extreme_Zone-Chandler_Arizona.html,"Gravity! is a one-of-a-kind Trampoline & an Adventure park which caters to kids, teenagers, college-students & Corporate. It's an ideal setting for kids birthday parties, Corporate events, Corporate…","Chandler, Arizona"VR Junkies,5.0,4,https://www.tripadvisor.com/Attraction_Review-g31190-d13509785-Reviews-VR_Junkies-Chandler_Arizona.html,Arizona's premier virtual reality arcade. We have over 70 games to choose from across all age-ranges. You can play solo or a multiplayer game with some friends. We also host birthday parties and team…,"Chandler, Arizona"
Sibley's West: The Chandler and Arizona Gift Shop,4.8,90,https://www.tripadvisor.com/Attraction_Review-g31190-d4572726-Reviews-Sibley_s_West_The_Chandler_and_Arizona_Gift_Shop-Chandler_Arizona.html,The owners of Sibley’s West have announced their retirement. A Retirement Sale will begin May 1. Quantities of items may be diminished. Thank you fir your support! Sibley's West: The Chandler and …,"Chandler, Arizona"
Bear Creek Golf Complex,3.3,43,https://www.tripadvisor.com/Attraction_Review-g31190-d3581823-Reviews-Bear_Creek_Golf_Complex-Chandler_Arizona.html,"Bear Creek Golf Complex is a 36-hole inland links golf facility consisting of both a long and short course. The Bear Championship Course stretches to 6,825 yards from the back tees and plays to a …","Chandler, Arizona"
Uptown Jungle Fun Park,4.0,7,https://www.tripadvisor.com/Attraction_Review-g31190-d15011563-Reviews-Uptown_Jungle_Fun_Park-Chandler_Arizona.html,"UPTOWN JUNGLE FUN PARK is more than just a San Diego Trampoline Park. It is the Premier San Diego Indoor Playground. Looking for Fun Things To Do In San Diego With Kids? Come to UPTOWN JUNGLE, get…","Chandler, Arizona"
Escape the Room,4.8,92,https://www.tripadvisor.com/Attraction_Review-g31190-d16868836-Reviews-Escape_the_Room-Chandler_Arizona.html,"Escape The Room Chandler is the premier escape game experience in the Chandler area. With three unique rooms to play and the most technologically advanced puzzles, you will truly be tested to see …","Chandler, Arizona"
Chandler Center for the Arts,4.5,79,https://www.tripadvisor.com/Attraction_Review-g31190-d4040834-Reviews-Chandler_Center_for_the_Arts-Chandler_Arizona.html,The Chandler Center for the Arts is Arizona's leading collaborative arts institution dedicated to reaching out to audiences of all ages with the highest quality of artistic work to continuously inspire…,"Chandler, Arizona"
AZ Goat and Alpaca Yoga,4.7,28,https://www.tripadvisor.com/Attraction_Review-g31190-d23307663-Reviews-AZ_Goat_and_Alpaca_Yoga-Chandler_Arizona.html,,"Chandler, Arizona"
Andretti Indoor Karting & Games Chandler,2.6,5,https://www.tripadvisor.com/Attraction_Review-g31190-d27451722-Reviews-Andretti_Indoor_Karting_Games_Chandler-Chandler_Arizona.html,Zip around the track like a race car driver at Andretti Indoor Karting & Games in Chandler. The indoor facility features thrilling attractions including high-speed electric karts on the world’s longest…,"Chandler, Arizona"
ESCAPE:chandler,4.9,19,https://www.tripadvisor.com/Attraction_Review-g31190-d14008899-Reviews-ESCAPE_chandler-Chandler_Arizona.html,"We are a new, family-friendly escape room venue, the first of its kind in Chandler, Arizona. We are family-owned and independently operated. We developed a love of playing escape rooms as a family…","Chandler, Arizona"
Burst Of Butterflies Create & Paint Studio,4.8,13,https://www.tripadvisor.com/Attraction_Review-g31190-d7913227-Reviews-Burst_Of_Butterflies_Create_Paint_Studio-Chandler_Arizona.html,"Pottery Painting, Canvas Painting, Plank Board Painting, Glass Fusing, Workshops, Clay Hand Building, Wheel Throwing, birthday parties, byob beer or wine events, things to do, date night, team building…","Chandler, Arizona"
USA Skateland Chandler,3.2,15,https://www.tripadvisor.com/Attraction_Review-g31190-d4476429-Reviews-USA_Skateland_Chandler-Chandler_Arizona.html,Home of the World's Greatest Parties! We provide Roller Skating and Family Fun for all ages. USA's Skateland features a Roller Cafe full of family favorites. We also offer State of the Art sound systems…,"Chandler, Arizona"
The Hunt AZ Zombie Assault,,,https://www.tripadvisor.com/Attraction_Review-g31190-d23551428-Reviews-The_Hunt_AZ_Zombie_Assault-Chandler_Arizona.html,There has been a viral outbreak in 2019. A rare virus was spreading across the country. This virus has been reawakening dead people into undead ZOMBIES after their vaccine has worn off! We need you…,"Chandler, Arizona"
